0.5 1.5
20 20
1 1
49 0 0.1
44 5 0.1
12 9 0.1
44 5 0.1
64 5 0.1
9 5 0.1
12 0 0.1
19 5 0.1
34 9 0.1
69 9 0.1
49 9 0.1
29 0 0.1
4 0 0.1
49 0 0.1
34 9 0.1
0 9 0.1
9 9 0.1
64 5 0.1
24 5 0.1
29 0 0.1
49 0 0.1
4 9 0.1
4 5 0.1
4 9 0.1
64 5 0.1
9 5 0.1
0 0 0.1
49 0 0.1
12 0 0.1
29 0 0.1
24 5 0.1
29 0 0.1
19 5 0.1
9 9 0.1
34 9 0.1
44 5 0.1
4 0 0.1
34 9 0.1
12 0 0.1
44 5 0.1
4 0 0.1
4 9 0.1
0 0 0.1
0 0 0.1
69 9 0.1
9 9 0.1
19 0 0.1
24 5 0.1
74 5 0.1
49 9 0.1
0 9 0.1
9 5 0.1
34 9 0.1
64 5 0.1
4 0 0.1
0 0 0.1
19 9 0.1
29 0 0.1
24 5 0.1
19 5 0.1
19 5 0.1
19 0 0.1
9 5 0.1
0 0 0.1
19 9 0.1
9 0 0.1
29 0 0.1
49 0 0.1
4 5 0.1
9 0 0.1
24 5 0.1
12 9 0.1
4 9 0.1
19 5 0.1
64 9 0.1
29 0 0.1
64 9 0.1
29 0 0.1
34 9 0.1
0 0 0.1
4 5 0.1
9 0 0.1
74 5 0.1
19 5 0.1
4 0 0.1
0 0 0.1
4 0 0.1
4 5 0.1
0 9 0.1
0 0 0.1
49 9 0.1
24 5 0.1
9 0 0.1
4 9 0.1
29 0 0.1
0 0 0.1
4 5 0.1
34 9 0.1
19 5 0.1
9 9 0.1
49 0 0.1
12 9 0.1
49 9 0.1
0 9 0.1
49 9 0.1
4 9 0.1
24 5 0.1
4 9 0.1
12 9 0.1
12 0 0.1
64 9 0.1
9 0 0.1
49 0 0.1
0 0 0.1
4 9 0.1
64 9 0.1
74 5 0.1
4 5 0.1
29 0 0.1
12 9 0.1
0 0 0.1
49 9 0.1
0 9 0.1
9 0 0.1
9 5 0.1
34 9 0.1
19 5 0.1
34 9 0.1
49 9 0.1
9 0 0.1
29 0 0.1
64 9 0.1
69 9 0.1
9 5 0.1
19 5 0.1
12 0 0.1
64 5 0.1
19 0 0.1
9 9 0.1
49 0 0.1
4 0 0.1
9 9 0.1
9 9 0.1
64 9 0.1
19 5 0.1
4 5 0.1
44 5 0.1
4 9 0.1
64 9 0.1
9 9 0.1
64 9 0.1
44 5 0.1
4 5 0.1
29 0 0.1
44 5 0.1
0 9 0.1
0 9 0.1
24 5 0.1
9 9 0.1
9 9 0.1
49 9 0.1
0 0 0.1
69 9 0.1
19 9 0.1
49 0 0.1
12 9 0.1
4 9 0.1
44 5 0.1
49 0 0.1
49 0 0.1
9 5 0.1
69 9 0.1
49 0 0.1
4 9 0.1
64 5 0.1
49 0 0.1
9 9 0.1
49 0 0.1
4 0 0.1
29 0 0.1
74 5 0.1
64 9 0.1
12 9 0.1
64 9 0.1
0 0 0.1
9 0 0.1
24 5 0.1
4 5 0.1
9 5 0.1
9 5 0.1
19 9 0.1
19 0 0.1
24 5 0.1
4 5 0.1
0 0 0.1
4 0 0.1
44 5 0.1
12 0 0.1
19 9 0.1
4 5 0.1
4 9 0.1
12 9 0.1
64 9 0.1
4 0 0.1
74 5 0.1
49 0 0.1
69 9 0.1
9 0 0.1
4 5 0.1
12 0 0.1
64 9 0.1
29 0 0.1
64 9 0.1
4 5 0.1
19 9 0.1
19 9 0.1
19 5 0.1
69 9 0.1
44 5 0.1
19 0 0.1
64 5 0.1
44 5 0.1
64 5 0.1
0 0 0.1
4 5 0.1
4 0 0.1
9 0 0.1
12 9 0.1
34 9 0.1
64 5 0.1
24 5 0.1
19 0 0.1
12 9 0.1
74 5 0.1
12 9 0.1
0 9 0.1
9 5 0.1
0 0 0.1
49 0 0.1
0 9 0.1
0 0 0.1
4 9 0.1
4 5 0.1
34 9 0.1
69 9 0.1
49 9 0.1
0 0 0.1
69 9 0.1
64 9 0.1
4 5 0.1
49 9 0.1
19 9 0.1
49 0 0.1
9 5 0.1
4 5 0.1
12 9 0.1
0 9 0.1
0 0 0.1
9 5 0.1
0 0 0.1
9 5 0.1
4 9 0.1
44 5 0.1
29 0 0.1
69 9 0.1
0 9 0.1
69 9 0.1
0 0 0.1
19 9 0.1
69 9 0.1
24 5 0.1
4 9 0.1
9 0 0.1
9 5 0.1
19 0 0.1
9 5 0.1
19 0 0.1
9 9 0.1
29 0 0.1
9 0 0.1
9 5 0.1
69 9 0.1
4 5 0.1
69 9 0.1
9 9 0.1
4 9 0.1
9 9 0.1
12 9 0.1
0 0 0.1
69 9 0.1
64 5 0.1
19 0 0.1
74 5 0.1
9 5 0.1
69 9 0.1
34 9 0.1
74 5 0.1
4 0 0.1
29 0 0.1
19 9 0.1
19 5 0.1
4 0 0.1
44 5 0.1
9 9 0.1
49 0 0.1
4 9 0.1
64 9 0.1
64 9 0.1
49 9 0.1
19 5 0.1
4 5 0.1
4 9 0.1
49 9 0.1
24 5 0.1
12 0 0.1
4 0 0.1
0 9 0.1
24 5 0.1
12 0 0.1
34 9 0.1
4 9 0.1
0 0 0.1
9 9 0.1
9 0 0.1
29 0 0.1
74 5 0.1
24 5 0.1
19 0 0.1
19 9 0.1
49 9 0.1
0 0 0.1
49 9 0.1
4 9 0.1
9 0 0.1
29 0 0.1
0 9 0.1
19 0 0.1
9 0 0.1
9 9 0.1
19 9 0.1
69 9 0.1
19 5 0.1
49 9 0.1
4 5 0.1
74 5 0.1
74 5 0.1
74 5 0.1
49 9 0.1
0 0 0.1
9 5 0.1
9 0 0.1
9 5 0.1
69 9 0.1
64 5 0.1
69 9 0.1
49 9 0.1
69 9 0.1
69 9 0.1
64 9 0.1
34 9 0.1
9 9 0.1
19 0 0.1
64 5 0.1
34 9 0.1
74 5 0.1
9 9 0.1
12 9 0.1
4 9 0.1
64 9 0.1
9 9 0.1
4 9 0.1
29 0 0.1
19 5 0.1
69 9 0.1
19 9 0.1
9 9 0.1
12 9 0.1
9 5 0.1
19 5 0.1
0 0 0.1
44 5 0.1
29 0 0.1
4 0 0.1
0 9 0.1
9 5 0.1
12 9 0.1
69 9 0.1
0 0 0.1
19 9 0.1
19 5 0.1
12 9 0.1
69 9 0.1
9 9 0.1
12 9 0.1
4 5 0.1
9 0 0.1
4 5 0.1
12 0 0.1
9 0 0.1
4 5 0.1
74 5 0.1
44 5 0.1
44 5 0.1
69 9 0.1
9 0 0.1
69 9 0.1
49 0 0.1
44 5 0.1
4 9 0.1
9 0 0.1
19 9 0.1
9 5 0.1
44 5 0.1
4 5 0.1
4 0 0.1
4 9 0.1
64 9 0.1
0 0 0.1
0 9 0.1
19 5 0.1
34 9 0.1
12 0 0.1
9 5 0.1
4 0 0.1
12 0 0.1
34 9 0.1
9 0 0.1
74 5 0.1
29 0 0.1
4 5 0.1
9 5 0.1
24 5 0.1
9 9 0.1
34 9 0.1
0 0 0.1
0 0 0.1
34 9 0.1
4 5 0.1
0 0 0.1
74 5 0.1
12 9 0.1
44 5 0.1
0 0 0.1
64 5 0.1
0 9 0.1
64 5 0.1
4 0 0.1
49 9 0.1
9 0 0.1
19 5 0.1
4 0 0.1
12 9 0.1
19 9 0.1
0 0 0.1
19 9 0.1
74 5 0.1
29 0 0.1
9 9 0.1
0 0 0.1
49 9 0.1
19 0 0.1
4 5 0.1
49 9 0.1
29 0 0.1
69 9 0.1
12 9 0.1
0 0 0.1
44 5 0.1
19 5 0.1
29 0 0.1
4 5 0.1
9 9 0.1
49 0 0.1
19 5 0.1
19 0 0.1
49 0 0.1
19 5 0.1
19 0 0.1
49 0 0.1
19 9 0.1
29 0 0.1
0 9 0.1
44 5 0.1
